X,Y,Z,Yaw,Pitch,Roll
0.15,-0.0019927,0,-14.9,0.033445,0
0.15,-0.0057401,0,-14.699,0.10033,0
0.15,-0.0094874,0,-14.498,0.16722,0
0.15,-0.013235,0,-14.298,0.23411,0
0.15,-0.016982,0,-14.097,0.301,0
0.15,-0.020729,0,-13.896,0.36789,0
0.15,-0.024477,0,-13.696,0.43478,0
0.15,-0.028224,0,-13.495,0.50167,0
0.15,-0.031971,0,-13.294,0.56856,0
0.15,-0.035719,0,-13.094,0.63545,0
0.15,-0.039466,0,-12.893,0.70234,0
0.15,-0.043213,0,-12.692,0.76923,0
0.15,-0.04696,0,-12.492,0.83612,0
0.15,-0.050708,0,-12.291,0.90301,0
0.15,-0.054455,0,-12.09,0.9699,0
0.15,-0.058202,0,-11.89,1.0368,0
0.15,-0.06195,0,-11.689,1.1037,0
0.15,-0.065697,0,-11.488,1.1706,0
0.15,-0.069444,0,-11.288,1.2375,0
0.15,-0.073192,0,-11.087,1.3043,0
0.15,-0.076939,0,-10.886,1.3712,0
0.15,-0.080686,0,-10.686,1.4381,0
0.15,-0.084434,0,-10.485,1.505,0
0.15,-0.088181,0,-10.284,1.5719,0
0.15,-0.091928,0,-10.084,1.6388,0
0.15,-0.091928,0,-9.8829,1.7057,0
0.14615,-0.091928,0,-9.6823,1.7726,0
0.14231,-0.091928,0,-9.4816,1.8395,0
0.13846,-0.091928,0,-9.2809,1.9064,0
0.13462,-0.091928,0,-9.0803,1.9732,0
0.13077,-0.091928,0,-8.8796,2.0401,0
0.12692,-0.091928,0,-8.6789,2.107,0
0.12308,-0.091928,0,-8.4783,2.1739,0
0.11923,-0.091928,0,-8.2776,2.2408,0
0.11538,-0.091928,0,-8.0769,2.3077,0
0.11154,-0.091928,0,-7.8763,2.3746,0
0.10769,-0.091928,0,-7.6756,2.4415,0
0.10385,-0.091928,0,-7.4749,2.5084,0
0.1,-0.091928,0,-7.2742,2.5753,0
0.096154,-0.091928,0,-7.0736,2.6421,0
0.092308,-0.091928,0,-6.8729,2.709,0
0.088462,-0.091928,0,-6.6722,2.7759,0
0.084615,-0.091928,0,-6.4716,2.8428,0
0.080769,-0.091928,0,-6.2709,2.9097,0
0.076923,-0.091928,0,-6.0702,2.9766,0
0.073077,-0.091928,0,-5.8696,3.0435,0
0.069231,-0.091928,0,-5.6689,3.1104,0
0.065385,-0.091928,0,-5.4682,3.1773,0
0.061538,-0.091928,0,-5.2676,3.2441,0
0.057692,-0.091928,0,-5.0669,3.311,0
0.053846,-0.091928,0,-4.8662,3.3779,0
0.05,-0.091928,0,-4.6656,3.4448,0
0.046154,-0.091928,0,-4.4649,3.5117,0
